ano,campo,registros,nulos,valores_validos,valores_invalidos_nao_vazios,formato_invalido_nao_vazio,calendario_invalido,data_minima,data_maxima,ano_diferente_arquivo,inconsistencias_ano_compra,exemplos_invalidos_json,criterio
2020,compra,84819,0,84819,0,0,0,2020-01-01,2020-12-31,0,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2020,insercao,84819,0,84819,0,0,0,2020-01-02,2025-10-04,31991,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2020,ano_compra,84819,0,84819,0,0,,,,0,0,[],"Ano literal de quatro dígitos; inconsistência = valor diferente do ano do arquivo, incluindo vazios ou formato inadequado. Não é data completa."
2021,compra,83622,0,83622,0,0,0,2021-01-01,2021-12-31,0,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2021,insercao,83622,0,83622,0,0,0,2021-01-08,2026-03-04,34734,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2021,ano_compra,83622,0,83622,0,0,,,,0,0,[],"Ano literal de quatro dígitos; inconsistência = valor diferente do ano do arquivo, incluindo vazios ou formato inadequado. Não é data completa."
2022,compra,88991,0,88991,0,0,0,2022-01-01,2022-12-30,0,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2022,insercao,88991,120,88871,0,0,0,2022-01-03,2026-02-24,33824,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2022,ano_compra,88991,0,88991,0,0,,,,0,0,[],"Ano literal de quatro dígitos; inconsistência = valor diferente do ano do arquivo, incluindo vazios ou formato inadequado. Não é data completa."
2023,compra,31992,0,31992,0,0,0,2023-01-01,2023-12-30,0,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2023,insercao,31992,716,31276,0,0,0,2022-01-03,2026-03-13,11194,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2023,ano_compra,31992,0,31992,0,0,,,,0,0,[],"Ano literal de quatro dígitos; inconsistência = valor diferente do ano do arquivo, incluindo vazios ou formato inadequado. Não é data completa."
2024,compra,26258,0,26258,0,0,0,2024-01-01,2024-12-30,0,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2024,insercao,26258,1292,24966,0,0,0,2021-01-04,2026-03-13,17702,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2024,ano_compra,26258,0,26258,0,0,,,,0,0,[],"Ano literal de quatro dígitos; inconsistência = valor diferente do ano do arquivo, incluindo vazios ou formato inadequado. Não é data completa."
2025,compra,26215,0,26215,0,0,0,2025-01-01,2025-12-30,0,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2025,insercao,26215,0,26215,0,0,0,2025-03-14,2026-03-13,4999,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2025,ano_compra,26215,0,26215,0,0,,,,0,0,[],"Ano literal de quatro dígitos; inconsistência = valor diferente do ano do arquivo, incluindo vazios ou formato inadequado. Não é data completa."
2026,compra,819,0,819,0,0,0,2026-01-06,2026-03-05,0,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2026,insercao,819,0,819,0,0,0,2026-01-21,2026-03-13,0,,[],"DD/MM/AAAA e calendário válido; comparação auxiliar. Ano de inserção diferente do arquivo não é, por si só, erro. 2026 é parcial; sem presumir cobertura até agosto."
2026,ano_compra,819,0,819,0,0,,,,0,0,[],"Ano literal de quatro dígitos; inconsistência = valor diferente do ano do arquivo, incluindo vazios ou formato inadequado. Não é data completa."
