ano,campo,registros,nulos,valores_conversiveis_sem_tratamento,valores_nao_vazios_nao_conversiveis,percentual_nao_conversiveis_nao_vazios,negativos,zeros,positivos,valores_fracionarios,quantidades_fracionarias_a_investigar,minimo_auxiliar,maximo_auxiliar,padroes_observados_json,pontuacao_observada_json,simbolos_monetarios_json,exemplos_nao_conversiveis_json,exemplos_zero_ou_negativo_json,criterio
2020,capacidade,84819,53437,31382,0,0.0,0,0,31382,757,0,0.05,5000.0,"{""decimal_ponto"":31382,""vazio"":53437}","{""ponto"":31382}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2020,qtd_itens_comprados,84819,0,84819,0,0.0,0,0,84819,0,0,1,487620000,"{""inteiro"":84819}","{""sem_ponto_ou_virgula"":84819}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2020,preco_unitario,84819,0,84819,0,0.0,0,0,84819,79432,0,0.0001,255614.9,"{""decimal_ponto"":84819}","{""ponto"":84819}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2020,preco_total,84819,0,84819,0,0.0,0,0,84819,20921,0,0.0001,621600000.0,"{""decimal_ponto"":84819}","{""ponto"":84819}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2021,capacidade,83622,53401,30221,0,0.0,0,0,30221,733,0,0.2,5000.0,"{""decimal_ponto"":30221,""vazio"":53401}","{""ponto"":30221}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2021,qtd_itens_comprados,83622,0,83622,0,0.0,0,0,83622,0,0,1,487620000,"{""inteiro"":83622}","{""sem_ponto_ou_virgula"":83622}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2021,preco_unitario,83622,0,83622,0,0.0,0,0,83622,77470,0,0.0001,266097.6,"{""decimal_ponto"":83622}","{""ponto"":83622}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2021,preco_total,83622,0,83622,0,0.0,0,0,83622,20695,0,0.0001,484512000.0,"{""decimal_ponto"":83622}","{""ponto"":83622}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2022,capacidade,88991,57645,31346,0,0.0,0,0,31346,917,0,0.2,5000.0,"{""decimal_ponto"":31346,""vazio"":57645}","{""ponto"":31346}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2022,qtd_itens_comprados,88991,0,88991,0,0.0,0,0,88991,0,0,1,819600000,"{""inteiro"":88991}","{""sem_ponto_ou_virgula"":88991}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2022,preco_unitario,88991,0,88991,0,0.0,0,0,88991,82451,0,0.0001,495000.0,"{""decimal_ponto"":88991}","{""ponto"":88991}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2022,preco_total,88991,0,88991,0,0.0,0,0,88991,22916,0,0.0001,676524931.44,"{""decimal_ponto"":88991}","{""ponto"":88991}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2023,capacidade,31992,19821,12171,0,0.0,0,0,12171,421,0,0.2,5000.0,"{""decimal_ponto"":12171,""vazio"":19821}","{""ponto"":12171}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2023,qtd_itens_comprados,31992,0,31992,0,0.0,0,0,31992,0,0,1,4356140000,"{""inteiro"":31992}","{""sem_ponto_ou_virgula"":31992}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2023,preco_unitario,31992,0,31992,0,0.0,0,0,31992,29572,0,0.0005,4804290.0,"{""decimal_ponto"":31992}","{""ponto"":31992}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2023,preco_total,31992,0,31992,0,0.0,0,0,31992,9205,0,0.16,1364418360.0,"{""decimal_ponto"":31992}","{""ponto"":31992}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2024,capacidade,26258,16708,9550,0,0.0,0,0,9550,559,0,0.2,5000.0,"{""decimal_ponto"":9550,""vazio"":16708}","{""ponto"":9550}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2024,qtd_itens_comprados,26258,0,26258,0,0.0,0,0,26258,0,0,1,246874294,"{""inteiro"":26258}","{""sem_ponto_ou_virgula"":26258}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2024,preco_unitario,26258,0,26258,0,0.0,0,0,26258,24495,0,0.01,8191720.0,"{""decimal_ponto"":26258}","{""ponto"":26258}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2024,preco_total,26258,0,26258,0,0.0,0,0,26258,8278,0,0.203,1662919160.0,"{""decimal_ponto"":26258}","{""ponto"":26258}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2025,capacidade,26215,16539,9676,0,0.0,0,0,9676,603,0,0.05,5000.0,"{""decimal_ponto"":9676,""vazio"":16539}","{""ponto"":9676}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2025,qtd_itens_comprados,26215,0,26215,0,0.0,0,0,26215,0,0,1,135116376,"{""inteiro"":26215}","{""sem_ponto_ou_virgula"":26215}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2025,preco_unitario,26215,0,26215,0,0.0,0,0,26215,24651,0,0.003,639303.91,"{""decimal_ponto"":26215}","{""ponto"":26215}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2025,preco_total,26215,0,26215,0,0.0,0,0,26215,8387,0,0.156,22816000000.0,"{""decimal_ponto"":26215}","{""ponto"":26215}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2026,capacidade,819,484,335,0,0.0,0,0,335,14,0,0.2,1000.0,"{""decimal_ponto"":335,""vazio"":484}","{""ponto"":335}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2026,qtd_itens_comprados,819,0,819,0,0.0,0,0,819,0,0,2,237800053,"{""inteiro"":819}","{""sem_ponto_ou_virgula"":819}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2026,preco_unitario,819,0,819,0,0.0,0,0,819,739,0,0.03,415789.9,"{""decimal_ponto"":819}","{""ponto"":819}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
2026,preco_total,819,0,819,0,0.0,0,0,819,210,0,8.8,126034028.09,"{""decimal_ponto"":819}","{""ponto"":819}",{},[],[],"Inteiro/ponto decimal/científico sem moeda, espaços ou milhares: Decimal auxiliar. Vírgula e demais formatos são identificados, não corrigidos. Sinais e zeros requerem regra de negócio futura; literais originais preservados."
