ano;campo;registros;colunas;encoding;separador;nulos_campos_vazios;percentual_nulos;strings_apenas_espacos;espacos_nas_bordas;distintos_textuais;dtype_leitura;negativos;zeros;positivos;numeros_invalidos;padrao_numerico;tipo_inferido;tipo_diferente_ano_anterior;datas_validas;datas_invalidas;data_minima;data_maxima
2020;ano_compra;84819;25;utf-8;";";0;0.0;0;0;1;string[pyarrow];0.0;0.0;84819.0;0.0;"Inteiro, ponto decimal ou notação científica; sem correção.";inteiro;False;;;;
2020;nome_instituicao;84819;25;utf-8;";";0;0.0;0;0;383;string[pyarrow];;;;;;texto;False;;;;
2020;esfera;84819;25;utf-8;";";0;0.0;0;0;3;string[pyarrow];;;;;;misto (numero/texto);False;;;;
2020;cnpj_instituicao;84819;25;utf-8;";";0;0.0;0;0;482;string[pyarrow];;;;;;texto;False;;;;
2020;municipio_instituicao;84819;25;utf-8;";";0;0.0;0;0;454;string[pyarrow];;;;;;texto;False;;;;
2020;uf;84819;25;utf-8;";";0;0.0;0;0;22;string[pyarrow];;;;;;texto;False;;;;
2020;compra;84819;25;utf-8;";";0;0.0;0;0;312;string[pyarrow];;;;;;data;False;84819.0;0.0;2020-01-01;2020-12-31
2020;insercao;84819;25;utf-8;";";0;0.0;0;0;660;string[pyarrow];;;;;;data;False;84819.0;0.0;2020-01-02;2025-10-04
2020;codigo_br;84819;25;utf-8;";";0;0.0;0;0;7350;string[pyarrow];;;;;;inteiro;False;;;;
2020;descricao_catmat;84819;25;utf-8;";";0;0.0;0;0;7350;string[pyarrow];;;;;;texto;False;;;;
2020;unidade_fornecimento;84819;25;utf-8;";";6;0.007074;0;0;41;string[pyarrow];;;;;;texto;False;;;;
2020;generico;84819;25;utf-8;";";47684;56.218536;0;0;3;string[pyarrow];;;;;;texto;False;;;;
2020;anvisa;84819;25;utf-8;";";47684;56.218536;0;0;5612;string[pyarrow];;;;;;inteiro;False;;;;
2020;modalidade_compra;84819;25;utf-8;";";0;0.0;0;0;9;string[pyarrow];;;;;;texto;False;;;;
2020;tipo_compra;84819;25;utf-8;";";0;0.0;0;0;1;string[pyarrow];;;;;;texto;False;;;;
2020;capacidade;84819;25;utf-8;";";53437;63.001214;0;0;92;string[pyarrow];0.0;0.0;31382.0;0.0;"Inteiro, ponto decimal ou notação científica; sem correção.";decimal;False;;;;
2020;unidade_medida;84819;25;utf-8;";";53437;63.001214;0;0;13;string[pyarrow];;;;;;texto;False;;;;
2020;unidade_fornecimento_capacidade;84819;25;utf-8;";";6;0.007074;0;0;257;string[pyarrow];;;;;;texto;False;;;;
2020;cnpj_fornecedor;84819;25;utf-8;";";0;0.0;0;0;1543;string[pyarrow];;;;;;texto;False;;;;
