nome_coluna,descricao_oficial,tipo_semantico,uso_potencial_no_dashboard,observacoes,rotulo_fonte_oficial,fonte_oficial,referencia,status_mapeamento,data_consulta,natureza_descricao
ano_compra,Ano da aquisição.,Temporal: ano,Filtro anual.,"Ano observado em 2026: 2026 em 819 registros. Não é data completa nem data de publicação. O PDF de metadados de 07/04/2026 declara cobertura geral no segundo semestre de 2025, embora liste planilhas até 2026; esse metadado geral não define a cobertura do CSV local de 2026.",Ano Compra,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 1,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
nome_instituicao,Entidade adquirente.,Categórico: nome institucional,Identificação e filtro de compradores.,Nome descritivo; avaliar identificação pelo CNPJ antes de agregações.,Nome Instituição,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 1,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
esfera,Nível governamental do comprador.,Categórico nominal,Comparação entre esferas governamentais.,"Ausente no dicionário dos CSVs; descrito no painel. O domínio documentado não explica o literal 0. Contagens exatas por ano: {""2020"":{""0"":43,""MUNICIPAL"":81535,""ESTADUAL"":3241},""2021"":{""MUNICIPAL"":79684,""ESTADUAL"":3820,""FEDERAL"":118},""2022"":{""MUNICIPAL"":82219,""ESTADUAL"":6768,""FEDERAL"":4},""2023"":{""MUNICIPAL"":29020,""ESTADUAL"":2972},""2024"":{""MUNICIPAL"":23501,""ESTADUAL"":2757},""2025"":{""MUNICIPAL"":21804,""ESTADUAL"":4411},""2026"":{""MUNICIPAL"":606,""ESTADUAL"":213}}. Zero ocorrências vazias em todos os anos. Nenhum valor foi corrigido.",Esfera,https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"Painel, p. 8",Complementação pelo dicionário do painel,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
cnpj_instituicao,Identificação fiscal do comprador.,Identificador textual: CNPJ,Filtro e identificação institucional.,"Identificador, não medida somável. Preservar pontuação e zeros.",CNPJ Instituição,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 1,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
municipio_instituicao,Município do comprador.,Categórico geográfico,Distribuição municipal das aquisições.,Interpretar em conjunto com UF; não confundir com localização do fornecedor.,Município Instituição,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf,p. 1,Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
uf,Estado ou Distrito Federal do comprador.,Categórico geográfico,Filtros e mapas por UF.,Unidade geográfica da instituição adquirente.,UF,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"p. 1; Painel, p. 6",Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
compra,Data da aquisição declarada ao BPS.,Temporal: data,Evolução das aquisições no tempo.,"Não é data de inserção nem de disponibilização. O glossário admite documentos fiscais, licitação ou homologação como referência; não presumir homologação para todos os registros. O dicionário do painel usa Data de homologação, mas não estabelece equivalência universal com este CSV. Em 2026: 06/01/2026 a 05/03/2026.",Compra,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://bvsms.saude.gov.br/bvs/publicacoes/glossario_tematico_banco_preco_saude.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,p. 1; Glossário: Data da compra,Correspondência direta no dicionário dos CSVs,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
insercao,Dia do lançamento das informações no BPS.,Temporal: data,Avaliação de defasagem entre aquisição e registro.,Registro feito pela instituição no sistema. Não é publicação do ZIP. Em 2026: 21/01/2026 a 13/03/2026. Nenhuma inserção em agosto.,Inserção,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"p. 1; Painel, p. 9",Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
codigo_br,Identificador CATMAT do material.,Identificador textual: material,Seleção e comparação de itens equivalentes.,"Mesmo com aparência inteira, usar como código; não como medida somável.",Código BR (Também conhecido como CATMAT),https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"p. 1; Painel, p. 3",Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
descricao_catmat,Especificação catalogada do material.,Texto descritivo,Rótulo e pesquisa dos produtos.,Descritivo original preservado; avaliar comparabilidade com unidade e capacidade.,Descrição CATMAT,https://s3.sa-east-1.amazonaws.com/ckan.saude.gov.br/BPS/Metadados_BPS_07_04_2026.pdf | https://www.gov.br/saude/pt-br/acesso-a-informacao/banco-de-precos/publicacoes/dicionario-de-dados-painel-de-precos/@@download/file,"p. 1; Painel, p. 4",Correspondência direta,2026-09-07,Síntese das fontes oficiais; lacunas e associações não confirmadas sinalizadas. Tipos semânticos e usos no dashboard são propostas analíticas.
