nome_coluna_original,2020,2021,2022,2023,2024,2025,2026,quantidade_anos_presente,comum_a_todos
ano_compra,True,True,True,True,True,True,True,7,True
anvisa,True,True,True,True,True,True,True,7,True
capacidade,True,True,True,True,True,True,True,7,True
cnpj_fabricante,True,True,True,True,True,True,True,7,True
cnpj_fornecedor,True,True,True,True,True,True,True,7,True
cnpj_instituicao,True,True,True,True,True,True,True,7,True
codigo_br,True,True,True,True,True,True,True,7,True
compra,True,True,True,True,True,True,True,7,True
descricao_catmat,True,True,True,True,True,True,True,7,True
esfera,True,True,True,True,True,True,True,7,True
fabricante,True,True,True,True,True,True,True,7,True
fornecedor,True,True,True,True,True,True,True,7,True
generico,True,True,True,True,True,True,True,7,True
insercao,True,True,True,True,True,True,True,7,True
modalidade_compra,True,True,True,True,True,True,True,7,True
municipio_instituicao,True,True,True,True,True,True,True,7,True
nome_instituicao,True,True,True,True,True,True,True,7,True
preco_total,True,True,True,True,True,True,True,7,True
preco_unitario,True,True,True,True,True,True,True,7,True
qtd_itens_comprados,True,True,True,True,True,True,True,7,True
tipo_compra,True,True,True,True,True,True,True,7,True
uf,True,True,True,True,True,True,True,7,True
unidade_fornecimento,True,True,True,True,True,True,True,7,True
unidade_fornecimento_capacidade,True,True,True,True,True,True,True,7,True
unidade_medida,True,True,True,True,True,True,True,7,True
