ano_compra,nome_instituicao,esfera,cnpj_instituicao,municipio_instituicao,uf,compra,insercao,codigo_br,descricao_catmat,unidade_fornecimento,generico,anvisa,modalidade_compra,tipo_compra,capacidade,unidade_medida,unidade_fornecimento_capacidade,cnpj_fornecedor,fornecedor,cnpj_fabricante,fabricante,qtd_itens_comprados,preco_unitario,preco_total,ano_arquivo,numero_registro_origem
2024,MUNICIPIO DO RIO GRANDE,MUNICIPAL,88.566.872/0001-62,RIO GRANDE,RS,19/01/2024,05/09/2025,268236,"CLORETO DE SÓDIO, PRINCÍPIO ATIVO:0,9%_ SOLUÇÃO INJETÁVEL, APLICAÇÃO:SISTEMA FECHADO",FRASCO,N,1004100980102,Dispensa de Licitação,ADMINISTRATIVA,500.0,ML,FRASCO 500.00 ML,06.294.126/0001-00,RS - PRODUTOS HOSPITALARES LTDA,49.324.221/0001-04,FRESENIUS KABI BRASIL LTDA.,3000,5.48,16440.0,2024,1367
2024,FUNDO MUNICIPAL DE SAUDE DE ESPIGAO DO OESTE (FMS),MUNICIPAL,23.109.604/0001-76,ESPIGAO D'OESTE,RO,19/01/2024,26/11/2025,271950,"FENTANILA, APRESENTAÇÃO:SAL CITRATO, DOSAGEM:0,05 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL",AMPOLA,S,1134301510020,Pregão,ADMINISTRATIVA,2.0,ML,AMPOLA 2.00 ML,36.629.597/0001-85,SAFRAMED HOSPITALAR LTDA,19.570.720/0001-10,HIPOLABOR FARMACEUTICA LTDA,600,2.17,1302.0,2024,1401
2024,SECRETARIA DE ESTADO DA SAUDE,ESTADUAL,76.416.866/0001-40,CURITIBA,PR,08/04/2024,06/06/2025,449024,"PROBIÓTICO, COMPOSIÇÃO:BACILLUS CEREUS, CONCENTRAÇÃO:5 MILHÕES ENDÓSPOROS/ML, FORMA FARMACÊUTICA:SUSPENSÃO ORAL",FLACONETE,N,1044300090037,Registro de Preços,ADMINISTRATIVA,5.0,ML,FLACONETE 5.00 ML,02.816.696/0001-54,PONTAMED FARMACEUTICA LTDA,92.670.801/0001-82,GEYER MEDICAMENTOS SA,11360,3.48,39532.8,2024,5988
2024,SECRETARIA DE ESTADO DA SAUDE,ESTADUAL,76.416.866/0001-40,CURITIBA,PR,08/04/2024,06/06/2025,272043,"CLONIDINA CLORIDRATO, CONCENTRAÇÃO:0,1 MG",COMPRIMIDO,N,1583200030019,Registro de Preços,ADMINISTRATIVA,,,COMPRIMIDO,04.355.394/0001-51,PROHOSP DISTRIBUIDORA DE MEDICAMENTOS LTDA.,19.501.429/0001-90,MAWDSLEYS PHARMACEUTICALS DO BRASIL LTDA,72440,0.19,13763.6,2024,5991
2024,FUNDO MUNICIPAL DE SAUDE DE ITAPUA DO OESTE - RO,MUNICIPAL,11.264.342/0001-35,ITAPUA DO OESTE,RO,29/04/2024,15/08/2025,268510,"FLUMAZENIL, DOSAGEM:0,1 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL",AMPOLA,S,1134301960026,Registro de Preços,ADMINISTRATIVA,5.0,ML,AMPOLA 5.00 ML,44.656.846/0001-50,DF MEDICAL LTDA,19.570.720/0001-10,HIPOLABOR FARMACEUTICA LTDA,1000,5.75,5750.0,2024,7397
2024,FUNDO MUNICIPAL DE SAUDE DE ITAPUA DO OESTE - RO,MUNICIPAL,11.264.342/0001-35,ITAPUA DO OESTE,RO,29/04/2024,15/08/2025,268510,"FLUMAZENIL, DOSAGEM:0,1 MG/ML, INDICAÇÃO:SOLUÇÃO INJETÁVEL",AMPOLA,S,1134301960018,Registro de Preços,ADMINISTRATIVA,5.0,ML,AMPOLA 5.00 ML,44.656.846/0001-50,DF MEDICAL LTDA,19.570.720/0001-10,HIPOLABOR FARMACEUTICA LTDA,1000,5.75,5750.0,2024,7414
2024,FUNDO MUNICIPAL DE SAUDE,MUNICIPAL,11.216.262/0001-04,VASSOURAS,RJ,30/04/2024,21/08/2024,337468,"DESLORATADINA, CONCENTRAÇÃO:0,5 MG/ML, FORMA FARMACÊUTICA:XAROPE",FRASCO,S,1058308200176,Dispensa de Licitação,JUDICIAL,100.0,ML,FRASCO 100.00 ML,28.843.779/0001-26,DROGARIA SANTA ALICE DE VASSOURAS LTDA,45.992.062/0001-65,GERMED FARMACEUTICA LTDA,1,13.92,13.92,2024,7463
2024,MUNICIPIO DE JARU,MUNICIPAL,04.279.238/0001-59,JARU,RO,05/07/2024,16/06/2025,268228,"CEFALOTINA SÓDICA, DOSAGEM:1 G, USO:INJETÁVEL",FRASCO-AMPOLA,S,1163701000090,Pregão,ADMINISTRATIVA,,,FRASCO-AMPOLA,35.472.743/0001-49,HEALTH DISTRIBUIDORA DE MEDICAMENTOS LTDA,58.430.828/0001-60,BLAU FARMACEUTICA S.A.,10000,4.2,42000.0,2024,11642
2024,SECRETARIA DE ESTADO DA SAUDE,ESTADUAL,76.416.866/0001-40,CURITIBA,PR,18/07/2024,02/06/2025,449187,"TROMETAMOL, COMPOSIÇÃO:FOSFOMICINA, CONCENTRAÇÃO:3 G, FORMA FARMACÊUTICA:GRANULADO",ENVELOPE,N,1011806180014,Registro de Preços,JUDICIAL,,,ENVELOPE,13.485.130/0001-03,PHARMA LOG PRODUTOS FARMACEUTICOS LTDA,62.462.015/0001-29,APSEN FARMACEUTICA S/A,72,22.95,1652.4,2024,12977
2024,SECRETARIA DE ESTADO DA SAUDE,ESTADUAL,76.416.866/0001-40,CURITIBA,PR,22/07/2024,27/05/2025,272045,"CLOPIDOGREL, DOSAGEM:75 MG",COMPRIMIDO,S,1553700570037,Registro de Preços,ADMINISTRATIVA,,,COMPRIMIDO,64.171.697/0004-99,ACCORD FARMACEUTICA LTDA,64.171.697/0001-46,ACCORD FARMACEUTICA LTDA,5332610,0.16,853217.6,2024,13338
