ano_compra;nome_instituicao;esfera;cnpj_instituicao;municipio_instituicao;uf;compra;insercao;codigo_br;descricao_catmat;unidade_fornecimento;generico;anvisa;modalidade_compra;tipo_compra;capacidade;unidade_medida;unidade_fornecimento_capacidade;cnpj_fornecedor;fornecedor;cnpj_fabricante;fabricante;qtd_itens_comprados;preco_unitario;preco_total;ano_arquivo;ano_parcial;esfera_original;ano;secao;posicao;registro_parquet_1_base;criterio_ordenacao;valor_criterio;valor_total_grupo;registros_grupo;participacao_total_2025_pct;total_2025;diferenca_preco_total;observacao;chave_agrupamento;identificador_grupo;nomes_observados_json;unidades_observadas_json;medida;valor_medida
2025.0;SECRETARIA DE ESTADO DA SAUDE;ESTADUAL;76.416.866/0001-40;CURITIBA;PR;2025-12-01;2026-02-05;272815;PENICILAMINA, DOSAGEM:250 MG;CÁPSULA;N;1091701310013;Pregão;ADMINISTRATIVA;;;CÁPSULA;11.697.594/0003-10;AGILLE COMERCIO DE MEDICAMENTOS LTDA;17.875.154/0001-20;MEDQUIMICA INDUSTRIA FARMACEUTICA LTDA.;77500.0;294400.0000;22816000000.0000;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;1.0;340779.0;preco_total;22816000000.0000;22816000000.0000;1.0;65.3175330436497080397353791315446572151244579821007133640993;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;SECRETARIA DE ESTADO DA SAUDE;ESTADUAL;46.374.500/0262-31;SAO PAULO;SP;2025-01-08;2025-09-17;356051;ÁCIDO ZOLEDRÔNICO, CONCENTRAÇÃO:50 MCG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL;BOLSA;N;1004314180050;Pregão;ADMINISTRATIVA;100.00;ML;BOLSA 100.00 ML;27.817.504/0001-55;SP HOSPITALAR LTDA;61.190.096/0001-92;EUROFARMA LABORATORIOS S.A.;18657.0;199000.0000;3712743000.0000;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;2.0;316046.0;preco_total;3712743000.0000;3712743000.0000;1.0;10.6288224748018560648917974545489351885892718049543543494726;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;SECRETARIA DE ESTADO DA SAUDE;ESTADUAL;46.374.500/0262-31;SAO PAULO;SP;2025-05-21;2025-11-13;432908;DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG;COMPRIMIDO;N;1161802590067;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA.;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA.;90487070.0;2.2100;199976424.7000;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;3.0;327768.0;preco_total;199976424.7000;199976424.7000;1.0;0.572491529115233943416248538430281010618322575069507242894113;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;SECRETARIA DE ESTADO DA SAUDE;ESTADUAL;46.374.500/0262-31;SAO PAULO;SP;2025-06-05;2025-10-20;432908;DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG;COMPRIMIDO;N;1161802590067;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA.;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA.;90487070.0;2.2100;199976424.7000;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;4.0;329487.0;preco_total;199976424.7000;199976424.7000;1.0;0.572491529115233943416248538430281010618322575069507242894113;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;SECRETARIA DE ESTADO DA SAUDE;ESTADUAL;46.374.500/0262-31;SAO PAULO;SP;2025-09-04;2025-11-10;432908;DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG;COMPRIMIDO;N;1161802590067;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA.;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA.;90442363.0;2.2100;199877622.2300;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;5.0;336729.0;preco_total;199877622.2300;199877622.2300;1.0;0.572208677888067954243338969986882383906885091820644919688067;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;CONSORCIO INTERMUNICIPAL DE DESENVOLVIMENTO SUSTENTAVEL DA REGIAO DOS CAMPOS DE CIMA DA SERRA - CONDESUS;MUNICIPAL;04.712.762/0001-71;VACARIA;RS;2025-11-26;2026-01-07;448702;ETANERCEPTE, CONCENTRAÇAO:50 MG/ML, FORMA FARMACEUTICA:SOLUÇÃO INJETÁVEL, CARACTERÍSTICAS ADICIONAIS:SERINGA PREENCHIDA;SERINGA;N;1004706290079;Pregão;ADMINISTRATIVA;1.00;ML;SERINGA 1.00 ML;05.782.733/0001-49;CIAMED - DISTRIBUIDORA DE MEDICAMENTOS LTDA.;61.286.647/0001-16;SANDOZ DO BRASIL INDUSTRIA FARMACEUTICA LTDA.;490000.0;390.0250;191112250.0000;2025.0;False;MUNICIPAL;2025;maiores_registros_preco_total;6.0;340469.0;preco_total;191112250.0000;191112250.0000;1.0;0.547115213202193369359963083381510580989707626007614264446795;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;SECRETARIA DE ESTADO DA SAUDE;ESTADUAL;46.374.500/0262-31;SAO PAULO;SP;2025-05-30;2026-02-09;432908;DAPAGLIFLOZINA, CONCENTRAÇÃO:10 MG;COMPRIMIDO;N;1161802590067;Registro de Preços;ADMINISTRATIVA;;;COMPRIMIDO;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA.;60.318.797/0001-00;ASTRAZENECA DO BRASIL LTDA.;90487070.0;2.1000;190022847.0000;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;7.0;328420.0;preco_total;190022847.0000;190022847.0000;1.0;0.543996475629860308223584584028773810994786157305866610894858;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;SECRETARIA DE ESTADO DA SAUDE;ESTADUAL;46.374.500/0262-31;SAO PAULO;SP;2025-01-09;2025-09-17;440269;PEMBROLIZUMABE, CONCENTRAÇÃO:25 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL;FRASCO-AMPOLA;N;1017102090017;Pregão;ADMINISTRATIVA;;;FRASCO-AMPOLA;03.560.974/0001-18;MERCK SHARP & DOHME FARMACEUTICA LTDA.;03.560.974/0001-18;MERCK SHARP & DOHME FARMACEUTICA LTDA.;9465.0;15891.3100;150411249.1500;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;8.0;316084.0;preco_total;150411249.1500;150411249.1500;1.0;0.430596587328705910820888683845743077697029715892551570748609;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;FUNDO ESTADUAL DE SAUDE DO PARANA - FUNSAUDE;ESTADUAL;08.597.121/0001-74;CURITIBA;PR;2025-10-27;2025-12-15;440269;PEMBROLIZUMABE, CONCENTRAÇÃO:25 MG/ML, FORMA FARMACÊUTICA:SOLUÇÃO INJETÁVEL;FRASCO-AMPOLA;N;1017102090017;Pregão;JUDICIAL;;;FRASCO-AMPOLA;12.420.164/0002-38;CM HOSPITALAR S.A.;03.560.974/0001-18;MERCK SHARP & DOHME FARMACEUTICA LTDA.;7872.0;13117.7100;103262613.1200;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;9.0;339197.0;preco_total;103262613.1200;103262613.1200;1.0;0.295619703043443893500532435240060375438657675195273573325429;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
2025.0;SECRETARIA DE ESTADO DA SAUDE;ESTADUAL;46.374.500/0262-31;SAO PAULO;SP;2025-09-23;2025-11-12;291549;ATORVASTATINA CÁLCICA, DOSAGEM:80 MG;COMPRIMIDO;S;1023511190209;Pregão;ADMINISTRATIVA;;;COMPRIMIDO;09.944.371/0003-68;SULMEDIC COMERCIO DE MEDICAMENTOS LTDA;57.507.378/0003-65;EMS S/A;16234502.0;5.8000;94160111.6000;2025.0;False;ESTADUAL;2025;maiores_registros_preco_total;10.0;337555.0;preco_total;94160111.6000;94160111.6000;1.0;0.269561106277469502994780002344607117976852391807683817181066;34930896708.4730;0.0000;"Ranking diagnóstico; nenhuma linha removida ou corrigida.";;;;;;
